date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-05-27 17:31:44,AfDimBundestag,,18,64,187,"Der Entwicklungspolitische Sprecher der #AfD-Fraktion, Markus @Frohnmaier_AfD, fordert ein #Corona-Moratorium für die #Entwicklungshilfe: ""Als Erstes bringt man das eigene Haus in Ordnung!""",,@Frohnmaier_AfD,#AfD #Corona #Entwicklungshilfe,1265697208382480384,https://twitter.com/AfDimBundestag/status/1265697208382480384
2020-05-27 16:13:03,Linksfraktion,,2,5,15,".@tpflueger: #Somalia leidet aktuell unter der #Covid19-Pandemie, unter Bürgerkrieg, Dürre und Überschwemmung. Das Land braucht deswegen internationale Hilfe. In Corona-Zeiten gehören alle Militärausgaben auf den Prüfstand - auch der #Atalanta-Einsatz.",,@tpflueger,#Somalia #Covid19 #Atalanta,1265677404560863232,https://twitter.com/Linksfraktion/status/1265677404560863232
2020-05-27 09:49:36,AfDimBundestag,,1,11,44,"Heute debattiert der Deutsche #Bundestag den #AfD-Antrag „Strategiewechsel in der Entwicklungszusammenarbeit“. Es kommentiert der entwicklungspolitische Sprecher der AfD-Bundestagsfraktion, @Frohnmaier_AfD: ""Entwicklungshilfe-#Corona-Moratorium jetzt!"" ",,@Frohnmaier_AfD,#Bundestag #AfD #Corona,1265580906028417025,https://twitter.com/AfDimBundestag/status/1265580906028417025
2020-05-27 07:36:27,AfDimBundestag,,34,36,120,"Eine Berliner Charité Studie wollte Kinder eine ähnlich hohe #Corona-Viruslast wie Erwachsene attestieren. Konsequenz: #Shutdown der Schulen. Internationale Experten schütteln den Kopf. Dazu @Witt_Uwe: ""Blindes Vertrauen der Regierung in Experten!"" #AfD",,@Witt_Uwe,#Corona #Shutdown #AfD,1265547401030504450,https://twitter.com/AfDimBundestag/status/1265547401030504450
2020-05-26 09:49:29,AfDimBundestag,,86,156,441,"Unser stellv. Arbeits- und Sozialpolitischer Sprecher @Pohl_MdB kritisiert den Medienboykott gegen die AfD-Fraktion: ""In 70 Sendungen zu #Corona waren 340 Gäste im Fernsehen eingeladen und davon waren NULL von der #AfD!""",,@Pohl_MdB,#Corona #AfD,1265218492166557696,https://twitter.com/AfDimBundestag/status/1265218492166557696
2020-05-25 13:16:08,AfDimBundestag,,9,21,67,"Vor dem Hintergrund der #Corona-Krise plant der Volkskongress #Sonderregelungen, die #HongKong betreffen. Dazu erklärt der außenpol. Sprecher der #AfD-Fraktion, Armin-Paulus Hampel: ""Chinas kalte Machtergreifung in Hong Kong!"" #HongKongNeedsHelp #Budnestag",,,#Corona #Sonderregelungen #HongKong #AfD #HongKongNeedsHelp #Budnestag,1264908106712186880,https://twitter.com/AfDimBundestag/status/1264908106712186880
2020-05-21 13:57:39,AfDimBundestag,,9,22,84,"Der #AfD-Abgeordnete @Witt_Uwe warnt vor einem „dramatischen Anstieg arbeitsloser Menschen mit Behinderung“: https://www.afdbundestag.de/witt-dramatischer-anstieg-arbeitsloser-menschen-mit-behinderung/ #Corona",,@Witt_Uwe,#AfD #Corona,1263469004741623809,https://twitter.com/AfDimBundestag/status/1263469004741623809
2020-05-20 15:08:40,AfDimBundestag,,18,18,76,"„Taiwan ist in der #Corona-Pandemie weltweit Vorbild!“ Darauf weist unser Außenpolitischer Sprecher, Armin-Paulus #Hampel, in seiner aktuellen Presseerklärung hin:",,,#Corona #Hampel,1263124487408504833,https://twitter.com/AfDimBundestag/status/1263124487408504833
2020-05-20 14:31:29,Linksfraktion,,6,10,39,"Kleiner #Kindergipfel: Die Corona-Krise bedroht wichtige Fortschritte, befürchtet @DietmarBartsch »DIE LINKE wird sich dafür einsetzen, dass nicht Kinder und Jugendliche am Ende für die Krise zahlen müssen.«",,@DietmarBartsch,#Kindergipfel,1263115131405434881,https://twitter.com/Linksfraktion/status/1263115131405434881
2020-05-20 09:17:18,AfDimBundestag,,9,33,142,"Die #EU soll Darlehen in Höhe von 500 Mrd Euro aufnehmen, um ‚nicht rückzahlbare Finanzhilfen‘ an besonders betroffene #Corona EU-Staaten zu leisten. Dazu Albrecht Glaser: ""Offensichtlicher Bruch der EU-Verträge durch #Merkel und #Macron!"" #AfD #Bundestag",,,#EU #Corona #Merkel #Macron #AfD #Bundestag,1263036063817371656,https://twitter.com/AfDimBundestag/status/1263036063817371656
